date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:35	4929/4929	---M--	200	added ('OK')	image/png	etag:%22698193e8-1341-5acac919%22	http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/view-state-1.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/view-state-1.png	(from http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/)
14:00:36	6961/6961	---M--	200	added ('OK')	image/png	etag:%22698193f0-1b31-5acac91a%22	http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/view-state-5.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/view-state-5.png	(from http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/)
14:00:37	146918/146918	---M--	200	added ('OK')	image/png	etag:%22698193ae-23de6-5acac912%22	http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/16.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/16.png	(from http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/)
14:00:38	11919/11919	---M--	200	added ('OK')	image/png	etag:%22698193f2-2e8f-5acac91a%22	http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/view-state-6.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/view-state-6.png	(from http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/)
14:00:43	291212/291212	---M--	200	added ('OK')	image/png	etag:%22698193a8-4718c-5acac911%22	http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/13.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/13.png	(from http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/)
14:00:46	57455/57455	---M--	200	added ('OK')	image/png	etag:%22698193b2-e06f-5acac912%22	http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/19.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/19.png	(from http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/)
14:00:49	1212166/1212166	---M--	200	added ('OK')	image/jpeg	etag:%22698193d4-127f06-5acac917%22	http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/moving_between_monitors.jpg	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/moving_between_monitors.jpg	(from http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/)
14:00:57	44846/44846	---M--	200	added ('OK')	image/png	etag:%226981940a-af2e-5a9d69a6%22	http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/xbox-ftp-1.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/xbox-ftp-1.png	(from http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/)
14:01:04	162635/162635	---M--	200	added ('OK')	image/png	etag:%22698193b4-27b4b-5acac913%22	http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/20.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/20.png	(from http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/)
14:01:20	232417/232417	---M--	200	added ('OK')	image/png	etag:%22698193b6-38be1-5acac913%22	http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/21.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/09-more-learnability/figures/21.png	(from http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/)
14:01:29	49504/49504	---M--	200	added ('OK')	image/png	etag:%2269819406-c160-5a9d69a6%22	http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/processors.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/processors.png	(from http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/)
14:01:29	201919/201919	---M--	200	added ('OK')	image/png	etag:%226981940c-314bf-5a9d69a6%22	http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/xbox-ftp-2.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/xbox-ftp-2.png	(from http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/)
14:01:32	168623/168623	---M--	200	added ('OK')	image/png	etag:%2269819400-292af-5a9d69a5%22	http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/mhp.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/mhp.png	(from http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/)
14:01:34	24264/24264	---M--	200	added ('OK')	image/png	etag:%22698193f4-5ec8-5a9d69a5%22	http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/10.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/10.png	(from http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/)
14:01:35	18047/18047	---M--	200	added ('OK')	image/png	etag:%22698193f8-467f-5a9d69a5%22	http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/13.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/13.png	(from http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/)
14:01:36	44633/44633	---M--	200	added ('OK')	image/png	etag:%2269819402-ae59-5a9d69a5%22	http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/motor-control.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/motor-control.png	(from http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/)
14:01:37	14029/14029	---M--	200	added ('OK')	image/png	etag:%22698193fc-36cd-5a9d69a5%22	http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/26.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/26.png	(from http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/)
14:01:40	41067/41067	---M--	200	added ('OK')	image/png	etag:%2269819408-a06b-5a9d69a6%22	http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/speed-accuracy.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/speed-accuracy.png	(from http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/)
14:01:45	53164/53164	---M--	200	added ('OK')	image/png	etag:%22698193fe-cfac-5a9d69a5%22	http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/cpm-goms.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/cpm-goms.png	(from http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/)
14:01:52	71187/71187	---M--	200	added ('OK')	image/png	etag:%226981940e-11613-5a8f31ea%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/01.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/01.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:01:52	91691/91691	---M--	200	added ('OK')	image/png	etag:%2269819404-1662b-5a9d69a6%22	http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/point-shift-click.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/figures/point-shift-click.png	(from http://web.mit.edu/6.813/www/sp18/classes/10-more-efficiency/)
14:01:53	55862/55862	---M--	200	added ('OK')	image/png	etag:%2269819414-da36-5a8f31ea%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/03.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/03.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
14:01:54	568/568	---M--	200	added ('OK')	image/png	etag:%2269819418-238-5a8f31eb%22	http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/05.png	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/11-prototyping/figures/05.png	(from http://web.mit.edu/6.813/www/sp18/classes/11-prototyping/)
